#File	data/fastq/SRR789190_1.fastq	data/fastq/SRR789190_2.fastq
#Total	53782816
#Matched	1064118	1.97855%
#Name	Reads	ReadsPct
RNA_PCR_Primer_Index_21_(RPI21)	13	0.00002%
RNA_PCR_Primer_Index_36_(RPI36)	13	0.00002%
TruSeq_Adapter_Index_13	13	0.00002%
RNA_PCR_Primer_Index_16_(RPI16)	12	0.00002%
RNA_PCR_Primer_Index_22_(RPI22)	12	0.00002%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]503	11	0.00002%
I7_Primer_Nextera_XT_Index_Kit_v2_N724	11	0.00002%
RNA_PCR_Primer_Index_28_(RPI28)	11	0.00002%
RNA_PCR_Primer_Index_32_(RPI32)	11	0.00002%
I5_Primer_Nextera_XT_Index_Kit_v2_S510	10	0.00002%
I7_Primer_Nextera_XT_and_Nextera_Enrichment_N711	10	0.00002%
RNA_PCR_Primer_Index_38_(RPI38)	10	0.00002%
RNA_PCR_Primer_Index_18_(RPI18)	9	0.00002%
I5_Primer_Nextera_XT_Index_Kit_v2_S518	8	0.00001%
I5_Primer_Nextera_XT_Index_Kit_v2_S521	8	0.00001%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]508	8	0.00001%
I7_Primer_Nextera_XT_Index_Kit_v2_N721	8	0.00001%
RNA_PCR_Primer_Index_29_(RPI29)	8	0.00001%
RNA_PCR_Primer_Index_48_(RPI48)	7	0.00001%
TruSeq_Adapter_Index_15	7	0.00001%
I7_Primer_Nextera_XT_Index_Kit_v2_N715	6	0.00001%
I7_Primer_Nextera_XT_Index_Kit_v2_N727	6	0.00001%
RNA_PCR_Primer_Index_17_(RPI17)	6	0.00001%
RNA_PCR_Primer_Index_47_(RPI47)	6	0.00001%
TruSeq_Adapter_Index_11	6	0.00001%
I7_Primer_Nextera_XT_and_Nextera_Enrichment_N703	5	0.00001%
RNA_PCR_Primer_Index_13_(RPI13)	5	0.00001%
RNA_PCR_Primer_Index_31_(RPI31)	5	0.00001%
RNA_PCR_Primer_Index_33_(RPI33)	5	0.00001%
RNA_PCR_Primer_Index_37_(RPI37)	5	0.00001%
RNA_PCR_Primer_Index_41_(RPI41)	5	0.00001%
RNA_PCR_Primer_Index_42_(RPI42)	5	0.00001%
I7_Primer_Nextera_XT_Index_Kit_v2_N728	4	0.00001%
TruSeq_Adapter_Index_22	4	0.00001%
TruSeq_Adapter_Index_25	4	0.00001%
I7_Primer_Nextera_XT_Index_Kit_v2_N714	3	0.00001%
I7_Primer_Nextera_XT_Index_Kit_v2_N720	3	0.00001%
I7_Primer_Nextera_XT_Index_Kit_v2_N726	3	0.00001%
I7_Primer_Nextera_XT_and_Nextera_Enrichment_N709	3	0.00001%
RNA_PCR_Primer_Index_40_(RPI40)	3	0.00001%
RNA_PCR_Primer_Index_44_(RPI44)	3	0.00001%
I5_Primer_Nextera_XT_Index_Kit_v2_S513	2	0.00000%
I5_Primer_Nextera_XT_Index_Kit_v2_S522	2	0.00000%
I7_Primer_Nextera_XT_Index_Kit_v2_N716	2	0.00000%
I7_Primer_Nextera_XT_Index_Kit_v2_N719	2	0.00000%
I7_Primer_Nextera_XT_Index_Kit_v2_N722	2	0.00000%
I7_Primer_Nextera_XT_and_Nextera_Enrichment_N702	2	0.00000%
RNA_PCR_Primer_Index_39_(RPI39)	2	0.00000%
TruSeq_Adapter_Index_21	2	0.00000%
I7_Primer_Nextera_XT_Index_Kit_v2_N718	1	0.00000%
RNA_PCR_Primer_Index_30_(RPI30)	1	0.00000%
RNA_PCR_Primer_Index_46_(RPI46)	1	0.00000%
RNA_PCR_Primer_Index_8_(RPI8)	1	0.00000%
